rule_id,rule_name,permission_a,permission_b,severity,risk_description
SOD-AP-007,GR/IR Clearing vs Invoice Entry,MR11,FB60,Medium,User who clears GR/IR and enters invoices can write off procurement variances.
SOD-IT-005,ABAP Editor vs Transport Mgmt,SE38,STMS,Critical,User who writes code and transports can deploy unauthorized programs to production.
SOD-IT-006,IMG Customizing vs Transport Mgmt,SPRO,STMS,Critical,User who customizes and transports can alter system configuration without oversight.
SOD-AP-008,Vendor Confirm vs Payment Run,FK08,F110,High,User who confirms vendor changes and runs payments can redirect confirmed payments.
SOD-GL-007,Accrual Posting vs Period Close,S_BCE_68001401,OB52,High,User who posts accruals and controls periods can manipulate period-end balances.
SOD-WM-003,Create Storage Bin vs Transfer Order,LS01,LT01,Low,User who creates bins and transfers can route stock to unauthorized locations.
SOD-QM-001,Create Inspection vs Usage Decision,QA01,QA11,Medium,User who creates inspections and records decisions can approve their own inspections.
SOD-PM-002,Create Equipment vs Maintenance Order,IA01,IW31,Low,User who creates equipment and orders can establish phantom assets requiring maintenance.
SOD-AP-009,Invoice Entry vs Document Reversal,FB60,FB08,High,User who enters and reverses invoices can conceal fraudulent transactions.
SOD-AR-004,Customer Change vs Payment Posting,FD02,F-28,Medium,User who changes customer data and posts payments can redirect collections.
SOD-MM-007,Material Change vs Inventory Count,MM02,MI04,Medium,User who changes material data and counts can manipulate stock values.
SOD-GL-008,Clear GL Account vs Journal Entry,F-03,FB01,Medium,User who clears and posts to GL can manipulate account reconciliation.
SOD-SD-003,Change Sales Order vs Change Delivery,VA02,VL02N,Low,User who changes orders and deliveries can modify shipment details without oversight.
SOD-SD-004,Create Sales Order vs Credit Management,VA01,FD32,High,User who creates orders and manages credit can process orders exceeding limits.
SOD-HR-003,Time Entry vs Time Evaluation,CAT2,PT60,Medium,User who enters and evaluates time can inflate hours without independent review.
SOD-IT-007,User Admin vs Data Browser,SU01,SE16,High,User who manages users and browses tables can access and misuse sensitive data.
SOD-AP-010,Automatic Account Assign vs Journal Entry,OBYC,FB01,Critical,User who configures automatic posting and posts journals can redirect account flows.
SOD-WM-004,Goods Receipt vs Material Create,MIGO,MM01,Medium,User who receives goods and creates materials can introduce unvetted items into inventory.
SOD-GL-009,GL Account Balances vs Reverse Document,S_ALR_87012284,FB08,Medium,User who views balances and reverses documents can identify and cover manipulation.
SOD-PM-003,Schedule Maintenance vs Confirm Order,IP10,IW41,Medium,User who schedules and confirms maintenance can fabricate preventive work.
SOD-QM-002,Create QM Notification vs Usage Decision,QM01,QA11,Low,User who creates notifications and approves quality can bypass rejection workflows.
SOD-AP-011,Clear Vendor vs Payment Execution,F-44,F110,High,User who clears vendor accounts and runs payments can manipulate payment history.
SOD-AR-005,Clear Customer vs Customer Invoice,F-32,FB70,Medium,User who clears customer accounts and posts invoices can conceal revenue irregularities.
SOD-MM-008,Auto PO Generation vs Goods Receipt,ME59N,MIGO,High,User who auto-generates POs and receives goods can create unauthorized procurement cycles.
SOD-GL-010,Post Accruals vs Financial Statements,S_BCE_68001401,F.01,Medium,User who posts accruals and generates statements can manipulate reported results.
SOD-IT-008,Mass User Changes vs Role Admin,SU10,PFCG,Critical,User who mass-changes users and manages roles can escalate privileges at scale.
SOD-SD-005,Create Billing vs Reverse Document,VF01,FB08,High,User who creates billing and reverses documents can fabricate and hide revenue.
SOD-AP-012,Vendor Create vs Vendor Change,FK01,FK02,Medium,User who creates and changes vendors can establish and then modify fictitious vendors.
SOD-HR-004,Employee Data vs User Admin,PA30,SU01,Critical,User who maintains HR records and manages system users can create authorized ghost employees.
