permission_id,permission_name,description,system,risk_level
CO01,Create Production Order,Create production orders,SAP ECC,Medium
CO11N,Confirm Production Order,Confirm production order operations,SAP ECC,Low
MD04,Stock/Requirements List,Display MRP stock/requirements list,SAP ECC,Low
CS01,Create BOM,Create bill of materials,SAP ECC,Medium
CS02,Change BOM,Modify bill of materials,SAP ECC,Medium
FS00,Edit GL Account Master,Create or change GL account master data,SAP ECC,High
OB52,Open/Close Posting Periods,Control posting period open/close,SAP ECC,Critical
FAGLL03,GL Account Line Items,Display GL account line items (new GL),SAP ECC,Low
FK08,Confirm Vendor Changes,Confirm changes to vendor master (dual control),SAP ECC,Medium
SA38,Execute Program,Execute ABAP programs,SAP ECC,High
F-44,Clear Vendor,Clear open items on vendor accounts,SAP ECC,Medium
F-32,Clear Customer,Clear open items on customer accounts,SAP ECC,Medium
F-06,Post Foreign Currency Valuation,Execute foreign currency valuation,SAP ECC,High
FAGL_FC_VAL,Foreign Currency Valuation,New GL foreign currency valuation,SAP ECC,High
GR55,Execute Report,Run financial reports,SAP ECC,Low
KSB1,Cost Center Report,Display cost center actual line items,SAP ECC,Low
CJ20N,Project Builder,Create and manage WBS elements and networks,SAP ECC,Medium
ME2M,PO by Material,Display purchase orders by material,SAP ECC,Low
ME2N,PO by PO Number,Display purchase orders by number,SAP ECC,Low
VL02N,Change Delivery,Modify outbound delivery,SAP ECC,Medium
VF02,Change Billing Document,Modify billing document,SAP ECC,Medium
FBV0,Post Parked Document,Post previously parked documents,SAP ECC,Medium
MR11,GR/IR Clearing,Maintain GR/IR clearing account,SAP ECC,Medium
OBYC,Automatic Account Assignment,Configure automatic account determination,SAP ECC,Critical
SPRO,Implementation Guide,Access IMG customizing activities,SAP ECC,Critical
SM30,Table Maintenance,Maintain database table entries directly,SAP ECC,Critical
J1INCHLN,Withholding Tax Challan,Process withholding tax challans,SAP ECC,Medium
S_BCE_68001401,Post Accruals,Post accrual/deferral documents,SAP ECC,Medium
FC10,Balance Sheet,Display balance sheet report,SAP ECC,Low
